row_id,customer_id,snapshot_date,region,plan_type,acquisition_channel,autopay,tenure_months,monthly_fee,usage_hours_30d,usage_change_90d,support_tickets_90d,late_payments_6m,satisfaction_score,days_since_last_login,network_incidents_30d,leaked_churn_score,retention_offer_result_14d,churn_30d
S20260728-0006671,C00672,2024-06-01,north,basic,partner,yes,46,29.810000,16.863000,-0.147600,2,0,3.560000,16.010000,2,0.000000,accepted_offer,0
S20260728-0001685,C00486,2024-02-01,north,basic,partner,no,6,29.020000,57.390000,-0.000300,2,0,,4.120000,1,0.139100,no_contact,0
S20260728-0005898,C01099,2024-05-01,south,standard,organic,no,14,51.740000,58.666000,-0.065400,1,1,2.690000,8.630000,1,0.019000,no_contact,0
S20260728-0002720,C00321,2024-03-01,south,basic,advertising,yes,13,26.700000,65.150000,0.075200,0,0,3.420000,17.530000,0,0.106000,no_contact,0
S20260728-0008023,C00824,2024-07-01,east,basic,organic,yes,13,25.530000,,-0.268200,1,0,3.610000,10.930000,1,0.122000,accepted_offer,0
S20260728-0007013,C01014,2024-06-01,north,basic,organic,no,10,32.180000,17.384000,-0.135600,3,0,2.790000,5.610000,1,0.886300,cancelled,1
S20260728-0000823,C00824,2024-01-01,east,basic,organic,yes,7,29.050000,22.939000,-0.122000,0,1,4.530000,8.870000,0,0.035400,no_contact,0
S20260728-0001389,C00190,2024-02-01,south,basic,referral,yes,46,30.240000,36.108000,-0.163900,0,0,4.010000,11.960000,1,0.168600,no_contact,0
S20260728-0000327,C00328,2024-01-01,south,standard,advertising,no,15,48.040000,31.362000,-0.345100,2,0,3.850000,10.600000,1,0.112400,no_contact,0
S20260728-0004459,C00860,2024-04-01,east,standard,advertising,yes,22,46.700000,31.597000,0.084400,1,0,3.440000,6.750000,0,0.019400,no_contact,0
S20260728-0000042,C00043,2024-01-01,south,standard,referral,yes,33,47.170000,6.842000,-0.632600,0,0,3.540000,11.400000,1,0.030200,no_contact,0
S20260728-0008046,C00847,2024-07-01,north,basic,advertising,yes,51,29.030000,37.072000,-0.019000,2,0,2.780000,7.010000,0,0.210600,no_contact,0
S20260728-0007669,C00470,2024-07-01,east,standard,advertising,yes,39,50.260000,29.589000,-0.070400,0,0,3.180000,7.250000,0,0.075200,no_contact,0
S20260728-0004362,C00763,2024-04-01,west,standard,referral,yes,7,46.780000,9.937000,-0.146200,0,0,3.550000,3.830000,1,0.869100,cancelled,1
S20260728-0000563,C00564,2024-01-01,west,basic,referral,yes,28,26.740000,24.299000,0.062600,0,0,3.860000,8.960000,1,0.073000,no_contact,0
